symbol,source,side,size_bucket,days,events,notional_sum,notional_p50,notional_max,spread_bps_at_event_mean,mid_ret_before_5s_bps,mid_ret_after_5s_bps,signed_mid_ret_after_5s_bps,mid_ret_before_30s_bps,mid_ret_after_30s_bps,signed_mid_ret_after_30s_bps,mid_ret_before_120s_bps,mid_ret_after_120s_bps,signed_mid_ret_after_120s_bps,mid_ret_before_300s_bps,mid_ret_after_300s_bps,signed_mid_ret_after_300s_bps,trade_notional_before_1s,trade_notional_after_1s,signed_trade_notional_before_1s,signed_trade_notional_after_1s,trade_notional_before_5s,trade_notional_after_5s,signed_trade_notional_before_5s,signed_trade_notional_after_5s,trade_notional_before_30s,trade_notional_after_30s,signed_trade_notional_before_30s,signed_trade_notional_after_30s
ethusdt,binance,sell,00_<1k,179,83694.0,24365632.92808,188.55903099899638,995.870595502306,0.0735713565008883,-4.540871189251436,0.04485540164895906,-0.04485540164895906,-13.384975542106174,0.24252354414556945,-0.24252354414556945,-23.430051572847027,0.46768822172896535,-0.46768822172896535,-31.952629005214746,0.3702519072658246,-0.3702519072658246,1025685.4039018408,944637.8466018982,-337100.179134415,-276099.8813183498,4997510.898830447,4121735.0548688034,-2140694.9174299412,-1041219.3610366557,17644449.726558905,18428787.509960264,-5855257.40519379,-2978726.447266918
ethusdt,binance,sell,01_1k_10k,179,47602.0,162937590.14231998,2633.256234290996,9924.187290506703,0.08478703858317511,-4.989128619070161,0.09130210738164364,-0.09130210738164364,-14.89235643910885,0.3514225895886997,-0.3514225895886997,-26.194766934378222,0.2838654719852158,-0.2838654719852158,-35.64606147252269,0.06321720174570489,-0.06321720174570489,1175065.0775831477,1084256.2288030116,-388431.43167758273,-328066.52270928683,5688067.246531772,4745771.344594742,-2454023.101324193,-1202463.2189503447,20387718.42185422,20984209.48757136,-6849321.734649406,-3434505.6753274594
ethusdt,binance,sell,02_10k_100k,179,15451.0,453125099.40299,21397.15385654003,95129.77672127564,0.0828797183099488,-5.524091040456958,-0.027636332871390314,0.027636332871390314,-16.16694856654848,0.2178343675124932,-0.2178343675124932,-28.115255809573537,0.14172628203295395,-0.14172628203295395,-38.07739030811998,-0.2975135599608864,0.2975135599608864,1324240.3987114502,1198094.5573595518,-448061.0315673086,-365394.40685847244,6501207.006609195,5255227.292630741,-2801673.2807036303,-1332032.4134124934,22699714.185169056,22856048.948688224,-7824948.038472468,-3718988.463078056
ethusdt,binance,sell,03_100k_1m,175,2327.0,533677952.43232,181773.6556421358,650544.2863849936,0.08575222357411667,-6.562151819608006,0.01554364843175804,-0.01554364843175804,-17.839709572375384,0.6961946253870386,-0.6961946253870386,-31.3764634684734,1.9400787566903406,-1.9400787566903406,-42.24817713323658,1.4392152625174266,-1.4392152625174266,1853590.2555907115,1590873.5897944192,-720353.5237957363,-474230.1520388916,8890546.13614804,6336929.897552249,-4018094.12598002,-1561001.097156189,28451885.77870268,25440978.64150794,-10100610.373846892,-3598698.929261967
ethusdt,binance,sell,04_>1m,57,108.0,354625797.60836005,2942361.971623796,5347378.243117129,0.07755169272272736,-4.682495997975434,-1.6964806071152307,1.6964806071152307,-21.808527832377408,0.49387662482004163,-0.49387662482004163,-44.5355047741989,5.579824800811696,-5.579824800811696,-63.11951365989736,1.3029215508481593,-1.3029215508481593,5514819.992818995,3700499.0655601383,-3912805.87572251,-654605.103051708,16166544.739672687,11844261.142203344,-8104842.919229092,-2154407.086471267,55907711.84565569,43659266.64589187,-22166374.226982918,-5921296.523915534
ethusdt,bybit,buy,00_<1k,179,50904.0,15911856.423799999,224.2711530292315,992.8838019173346,0.26318413632662113,15.591709989595449,0.26730755458039407,0.26730755458039407,31.809232982411253,-0.7772616274009108,-0.7772616274009108,50.89788511377474,-1.6914243397138298,-1.6914243397138298,66.08578745117197,-3.421305252700367,-3.421305252700367,4535329.889634842,3790615.011361047,1828115.8618683857,1279729.4578190327,17513651.915386587,14455010.883734763,8976740.084725523,4204439.407598919,44211308.09441211,46875858.99328089,17438763.854868665,8271275.978638242
ethusdt,bybit,buy,01_1k_10k,179,34012.0,118224319.08749999,2720.6031982506174,9837.839361060802,0.2887819164396879,16.7851074550394,0.2627789697215485,0.2627789697215485,35.23336802224478,-0.5401535361348383,-0.5401535361348383,56.51914968462066,-1.3412945298861898,-1.3412945298861898,72.49804240560832,-3.2415548875972204,-3.2415548875972204,4795216.002725033,4155043.382771077,1841776.0806533587,1384106.8881484356,19194640.18001169,16139338.826166926,9524473.645739818,4577241.81712416,50596810.17934037,52662426.19263577,19453672.346233018,9203738.703882577
ethusdt,bybit,buy,02_10k_100k,179,11343.0,326539012.0674,21149.707023168474,92876.90030975934,0.3353833093541317,18.16829751650979,0.3543299410377755,0.3543299410377755,37.865960804443965,0.34817826099084154,0.34817826099084154,59.788231402913155,-0.16850152883521838,-0.16850152883521838,76.22724832155639,-2.15501278675611,-2.15501278675611,5077050.428410762,4417377.497837003,1934800.7896216586,1431337.7257027144,20538476.78210682,17229542.62311808,10226290.38272361,4853944.637594431,54550598.36862316,57414475.6344647,21001718.31140421,10245403.839715132
ethusdt,bybit,buy,03_100k_1m,169,1884.0,559443874.3506,211923.44303152867,802824.0994859341,0.33227493141586456,19.827996052541025,0.2852638637793435,0.2852638637793435,41.018784014232,1.5297437756814092,1.5297437756814092,64.74867173098491,1.043701657398523,1.043701657398523,81.13799170890944,0.12977933152995455,0.12977933152995455,5423929.527275693,5026484.688065456,2062631.975375182,1664694.224944804,22228390.240596976,19773419.944189627,11193434.336078713,5653849.376205452,60050912.52613957,63136134.97455636,23115666.732658997,11387457.542751206
ethusdt,bybit,buy,04_>1m,22,33.0,42036539.84460001,1269638.3331515156,1349141.5012848487,0.43299579450664183,29.308335564143924,-1.6382206051808865,-1.6382206051808865,53.39778517680597,8.007147899339197,8.007147899339197,95.58924601992611,2.7533925642797965,2.7533925642797965,118.65280549644964,-0.8345928408402264,-0.8345928408402264,6924034.623532095,6129078.851649275,2533839.602002508,2042377.0278930846,29042735.738169726,26359746.585162003,13828568.684579821,6104356.468776754,75467073.99687286,93035002.0782543,28089573.378194362,21700600.583057225
