date,symbol,source,side,size_bucket,events,notional_sum,notional_p50,notional_max,spread_bps_at_event_mean,mid_ret_before_5s_bps,mid_ret_after_5s_bps,signed_mid_ret_after_5s_bps,mid_ret_before_30s_bps,mid_ret_after_30s_bps,signed_mid_ret_after_30s_bps,mid_ret_before_120s_bps,mid_ret_after_120s_bps,signed_mid_ret_after_120s_bps,mid_ret_before_300s_bps,mid_ret_after_300s_bps,signed_mid_ret_after_300s_bps,trade_notional_before_1s,trade_notional_after_1s,signed_trade_notional_before_1s,signed_trade_notional_after_1s,trade_notional_before_5s,trade_notional_after_5s,signed_trade_notional_before_5s,signed_trade_notional_after_5s,trade_notional_before_30s,trade_notional_after_30s,signed_trade_notional_before_30s,signed_trade_notional_after_30s
2025-12-04,btcusdt,binance,buy,00_<1k,258.0,105315.32956,369.438,943.462,0.0169352952598772,3.074355824048395,0.097801010076365,0.097801010076365,9.225202361254704,-0.9624579871879552,-0.9624579871879552,15.984639357658548,-1.9348804306778529,-1.9348804306778529,21.37185029853202,-2.960792817657955,-2.960792817657955,906581.9769274776,863313.7956475243,352491.9547228683,342521.57522711577,4812821.079014289,3376808.777611373,2582281.238269358,1110663.3865600156,16379091.965405658,13911148.699263675,6664525.553284018,2263183.6215343024
2025-12-04,btcusdt,binance,buy,01_1k_10k,199.0,704899.48144,2560.3844,9996.2134,0.0177449481489566,3.043318403688433,0.1902310583777065,0.1902310583777065,9.48125859276561,-0.347897087057928,-0.347897087057928,16.794725478129287,-1.934890137496034,-1.934890137496034,22.48871201417611,-1.775851380845984,-1.775851380845984,916890.2226840944,685269.750782532,372045.1363024896,104617.83304927098,4133223.4917822895,3493907.127683189,1926857.4780813863,733141.7254899632,14739282.633976094,15203102.198603649,6327501.642768631,1896830.9052401967
2025-12-04,btcusdt,binance,buy,02_10k_100k,72.0,2134761.17119,20184.5392,96479.7428,0.0223777356050615,3.804549722196705,0.5359116596200355,0.5359116596200355,9.939942710492666,-0.2908296600418963,-0.2908296600418963,17.993551483816606,-0.6705436130354387,-0.6705436130354387,24.15822467077972,-2.975922421140263,-2.975922421140263,1331127.0825167447,791528.3889695323,310744.6903472194,391664.1636888913,7150281.326619917,3343311.9641563827,3209014.1681527128,1395745.8067346748,19118588.35008456,16073190.137679378,7316364.275404112,2977886.891731953
2025-12-04,btcusdt,binance,buy,03_100k_1m,12.0,3375730.13724,187884.5422,804234.7848000001,0.0107860670802264,4.155920757860062,-0.14473024788543,-0.14473024788543,9.741623377170914,-0.8945597437792173,-0.8945597437792173,15.072597186838545,-1.235070856812572,-1.235070856812572,22.1885898375979,-0.8372167960928977,-0.8372167960928977,976540.8441825808,715305.2440797389,721702.6681334291,115522.70226662482,3621548.244522581,2478232.1845178306,2117729.3299918063,205511.4410000023,11184909.310877731,10590519.549912311,4538751.539725204,1882496.5876749884
2025-12-04,btcusdt,binance,sell,00_<1k,357.0,154393.98104,366.184,997.6901,0.0216521019752383,-2.459232778954592,0.0792885304531715,-0.0792885304531715,-8.508442737059886,-0.1299471742577743,0.1299471742577743,-17.118669072195733,-1.188432894624853,1.188432894624853,-23.364491910117337,-0.3841526329264741,0.3841526329264741,1301914.0033390978,1119080.721782379,-440445.1384703133,-468962.7414703046,5668263.07240561,4041416.312625785,-2934600.7733162106,-1239364.8896288543,18101825.8789727,16838584.264226116,-7827808.062532342,-3726415.6841674815
2025-12-04,btcusdt,binance,sell,01_1k_10k,283.0,964168.2573,2660.1033,9986.2421,0.0229414353908581,-2.8051962781936366,0.1035856053917134,-0.1035856053917134,-8.82032006937562,-0.688935003156428,0.688935003156428,-17.16680360382866,-0.5334718732051604,0.5334718732051604,-24.30293725787201,-0.7214841596608189,0.7214841596608189,1026397.6785280488,933501.7918587084,-406762.59305475146,-308991.2345162438,5562479.768276846,3957405.598258667,-2604670.3205462727,-1193868.7196283056,18978916.224866748,18051646.0785046,-8368567.185899062,-4148264.021294653
2025-12-04,btcusdt,binance,sell,02_10k_100k,93.0,3190289.44051,22574.0424,99135.0585,0.0494415029095011,-3.1296676497763425,0.2542240727876855,-0.2542240727876855,-9.87626029177257,-0.1288220524370383,0.1288220524370383,-18.36487302410556,0.8006556280087946,-0.8006556280087946,-25.08395725114569,2.563035216641484,-2.563035216641484,1535764.396616615,1674838.211182149,-555803.0492075426,-596664.5289043136,6826218.15705535,5637383.850621143,-3470159.0292602764,-1718548.9938464195,24622097.32683814,21887679.7626552,-10474471.965072446,-5918635.406982891
2025-12-04,btcusdt,binance,sell,03_100k_1m,15.0,3119088.43904,164412.13799999998,504741.078,0.0122932705360231,-3.488409833551432,0.2107238729455285,-0.2107238729455285,-10.726369199900798,-4.515778705400263,4.515778705400263,-21.820213519113697,-3.367380142455445,3.367380142455445,-24.162895680494703,1.0996276729251149,-1.0996276729251149,1430819.3731263836,766200.4699664473,-726934.3675666471,-194111.01768672463,8534940.02911927,5146623.892950305,-5133780.52737329,-284476.8727467676,21808058.210934024,26051825.515510283,-10105852.10222007,-7342382.11330686
2025-12-04,btcusdt,bybit,buy,00_<1k,177.0,64051.1756,280.5915,940.439,0.0152821361809623,4.639465134522833,0.6026223733277315,0.6026223733277315,13.60492803223557,-0.7378009763533483,-0.7378009763533483,24.071266288170293,-6.922193489119133,-6.922193489119133,33.77809727718817,-4.680223471957902,-4.680223471957902,2143789.937944823,1217813.5461199142,286858.9513417897,453528.1415615182,9681146.168746274,5651970.717827518,3283685.928145282,1990703.7774299155,32162750.188718896,23075621.24172951,10053756.369746735,4269725.579032387
2025-12-04,btcusdt,bybit,buy,01_1k_10k,129.0,471111.345,2993.0848,9913.7878,0.0394057305188854,5.2430375973291765,1.5610370092921624,1.5610370092921624,15.267658129372398,0.345275657599943,0.345275657599943,26.55998430207797,-9.834293027102342,-9.834293027102342,37.51477780986057,-3.920129632917966,-3.920129632917966,1885556.210096659,1574398.037736551,290730.41955732735,626198.9261751489,11638472.788946591,6587714.302314491,4301083.950651224,2206857.1072953846,38178482.9297052,25821142.218844865,11288621.605403572,4464119.397619393
