date,symbol,source,side,size_bucket,events,other_liq_notional_prev_1s,other_signed_liq_prev_1s,other_liq_notional_next_1s,other_signed_liq_next_1s,other_liq_notional_prev_5s,other_signed_liq_prev_5s,other_liq_notional_next_5s,other_signed_liq_next_5s,other_liq_notional_prev_30s,other_signed_liq_prev_30s,other_liq_notional_next_30s,other_signed_liq_next_30s
2026-01-15,btcusdt,binance,buy,01_1k_10k,174.0,4587.256982758619,4587.256982758624,2230.756713793118,2230.756713793108,15533.314334482766,15533.314334482762,10051.040040229893,10049.94006206897,31943.15132586223,31438.05941091951,29656.09307413788,29654.99309597706
2026-01-15,btcusdt,binance,buy,02_10k_100k,50.0,4493.478446000014,4493.478445999976,29648.904574,29599.43124600008,37661.79845600009,35648.79014399997,72212.58977,70561.8031620001,143448.44827200018,138324.042832,96538.523594,94887.73698600008
2026-01-15,btcusdt,binance,buy,03_100k_1m,9.0,0.0,0.0,21.51282222217156,21.51282222217156,1548.721600000022,1548.721600000022,953.17601111107,953.1760111110956,2602.5231555556466,2602.5231555556466,1867.6333999999076,1867.633399999933
2026-01-15,btcusdt,binance,sell,00_<1k,294.0,19097.06254863945,-19059.142820748304,10900.750562925155,-10875.718094897971,56062.86035714277,-55936.97380340135,34344.951436054456,-33791.24750476191,130950.61826088422,-130317.95443979593,67215.3915180272,-66046.46549353747
2026-01-15,btcusdt,binance,sell,01_1k_10k,240.0,6848.675277499971,-6848.675277499982,10750.582027916656,-10734.580577916671,43424.13451916665,-43395.29035250003,26781.243261250005,-26760.442551250035,91415.45816999995,-91206.91656,65870.09337958327,-65585.24424291668
2026-01-15,btcusdt,binance,sell,02_10k_100k,71.0,12118.222905633873,-12118.222905633826,4892.925256338006,-4892.925256338051,69837.45135915492,-69799.5231901409,13921.084592957666,-13921.08459295774,127439.53260845064,-126929.6024225351,80292.44402535191,-80094.98368169027
2026-01-15,btcusdt,binance,sell,03_100k_1m,13.0,6365.452884615614,-6365.452884615255,818.5791076923578,-818.5791076923578,8219.21103076934,-8219.211030769198,5621.214915384552,-5621.214915384644,158357.72986923085,-158357.729869231,14107.82494615373,-13974.730869230938
2026-01-15,btcusdt,bybit,buy,00_<1k,179.0,4440.897948938567,4431.281453966475,2629.1478586592425,2614.221759217877,10019.96818413416,9993.251111508367,8740.110122346492,8629.95874134078,25599.908588771104,20225.255073351946,25136.550121564283,23133.25398301676
2026-01-15,btcusdt,bybit,buy,01_1k_10k,108.0,3427.378312962964,3333.4672962962904,3715.655606111119,3703.313339444447,11835.285493333378,11737.840209999986,11407.011408148192,11060.981008148148,28375.53951759269,25697.24607314813,28212.211352777787,27399.021315740727
2026-01-15,btcusdt,bybit,buy,02_10k_100k,45.0,9150.629773333369,9150.62977333332,2462.4560924444813,2462.456092444448,14337.265730666752,14332.974135111095,15168.407059111192,15164.115463555532,27379.102138222333,27362.033391555557,37619.76562711117,35849.42210266663
2026-01-15,btcusdt,bybit,buy,03_100k_1m,4.0,193.5078499999363,193.5078499999945,5663.221690000035,5663.221690000035,8180.796794999856,8180.796795000031,34388.81801999989,34388.818020000006,14203.361234999496,14203.361235000018,110284.82188499952,110284.82188499988
2026-01-15,btcusdt,bybit,buy,04_>1m,1.0,12980.705959999934,12980.705959999934,0.0,0.0,29336.77965999953,29336.77966,6104.303700000048,6104.303700000048,31174.29001999926,31174.29001999996,92177.87849999964,92177.87849999988
2026-01-15,btcusdt,bybit,sell,00_<1k,448.0,2269.4777492410617,-2140.066008169644,4743.323703169672,-4734.688037633926,14224.092997321395,-13956.216208035712,18822.427310044597,-18803.49267754465,30839.99216100445,-30536.82141814732,46573.94849412944,-46044.87537457591
2026-01-15,btcusdt,bybit,sell,01_1k_10k,314.0,3852.4160982484,-3848.124718630575,5870.152315127401,-5864.617190541398,14519.079210413976,-14236.590776019104,19499.60245207001,-19486.103695636943,32808.49929095538,-32482.386076942672,42052.35720681529,-41337.94390834397
2026-01-15,btcusdt,bybit,sell,02_10k_100k,94.0,1852.4054521276528,-1852.4054521276607,7244.420971383021,-7244.420971382979,8745.04402638293,-8440.759396595751,19143.908795638257,-17449.835295638313,27655.78311063828,-27339.234263829792,44536.64298425538,-42491.21050978727
2026-01-15,btcusdt,bybit,sell,03_100k_1m,15.0,4070.7036040000417,-4070.703604000003,3750.835926666667,-3750.835926666664,6389.931243999997,-6389.931244000012,19636.30537666656,-19636.305376666693,17783.723890666675,-17783.723890666635,41050.14659666675,-41050.1465966667
2026-01-15,btcusdt,bybit,sell,04_>1m,3.0,731.7835666668446,-731.7835666666506,317.85513333324343,-317.85513333335984,3273.6543000001307,-3273.654299999975,22465.15686666655,-22465.156866666704,7364.985366666845,-7364.985366666592,61184.317133333454,-61184.31713333338
