variant,horizon_s,symbol,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
eth100_btc50_liq2_long,120,btcusdt,179,-0.03653556779181465,12.811980395912167,-0.06591216884782171,12.848515963703981,2792729.7566055865,True,89080,80314424,219141785402.404,499898626.4324,218641886775.9716
eth100_btc50_liq2_long,120,ethusdt,179,-0.002259481798598134,35.439426794768465,-0.031160308439664986,35.44168627656706,924699.1924851955,True,43904,137001123,203147565116.4344,165521155.45485,202982043960.97952
eth100_btc50_liq2_long,300,btcusdt,179,0.013362138568905356,11.615392917781481,-0.013164649349989732,11.602030779212576,2792729.7566055865,True,89080,80314153,219140740785.2208,499898626.4324,218640842158.7884
eth100_btc50_liq2_long,300,ethusdt,179,0.059261656412296505,39.91346300134519,0.026762546774252455,39.854201344932896,924699.1924851955,True,43904,137000756,203146880639.2635,165521155.45485,202981359483.80865
ret5_all,30,btcusdt,179,-0.10882655642065976,6.5785181725915605,-0.111145461965708,6.68734472901222,424376.44956759777,False,13070,80390513,219141953301.80112,75963384.4726,219065989917.3285
ret5_all,30,ethusdt,179,-0.03928731348105265,22.7202583773295,-0.09502787365147579,22.759545690810555,2772708.333776983,True,159894,136885281,203147654233.5019,496314791.74608,202651339441.7558
ret5_all,120,btcusdt,179,-0.03653556779181465,12.928405152268201,-0.04103129773960071,12.964940720060016,424376.44956759777,False,13070,80390434,219141785402.404,75963384.4726,219065822017.9314
ret5_all,120,ethusdt,179,-0.002259481798598134,32.62206250016288,-0.08215996869118586,32.62432198196148,2772708.333776983,True,159894,136885133,203147565116.4344,496314791.74608,202651250324.6883
ret5_all,300,btcusdt,179,0.013362138568905356,17.49377080494368,0.007300593577430781,17.480408666374775,424376.44956759777,False,13070,80390163,219140740785.2208,75963384.4726,219064777400.7482
ret5_all,300,ethusdt,179,0.059261656412296505,34.360116411029665,-0.024745123993439103,34.30085475461737,2772708.333776983,True,159894,136884766,203146880639.2635,496314791.74608,202650565847.5174
