variant,horizon_s,symbol,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
eth100_btc50_baseline_and_ret20_long,300,btcusdt,179,0.013362138568905356,6.976901575786241,-0.010582515781585245,6.963539437217335,4195249.888484358,True,138986,80264247,219140740785.2208,750949730.0387,218389791055.1821
eth100_btc50_baseline_and_ret20_long,300,ethusdt,179,0.059261656412296505,21.771523076031393,-0.06632705120333561,21.712261419619097,6526762.915590559,True,336554,136708106,203146880639.2635,1168290561.89071,201978590077.37277
eth100_btc50_baseline_or_ret50_long,30,btcusdt,179,-0.10882655642065976,6.5785181725915605,-0.111145461965708,6.68734472901222,424376.44956759777,False,13070,80390513,219141953301.80112,75963384.4726,219065989917.3285
eth100_btc50_baseline_or_ret50_long,30,ethusdt,179,-0.03928731348105265,67.91077705586619,-0.06140651223476916,67.95006436934725,369315.00262307265,False,23979,137021196,203147654233.5019,66107385.46953001,203081546848.03235
eth100_btc50_baseline_or_ret50_long,120,btcusdt,179,-0.03653556779181465,4.2779601503735645,-0.10240794202227807,4.314495718165379,18410469.960707262,True,653634,79749870,219141785402.404,3295474122.9666,215846311279.4374
eth100_btc50_baseline_or_ret50_long,120,ethusdt,179,-0.002259481798598134,11.491447030705148,-0.15974489366058012,11.493706512503746,15340113.208587542,True,877663,136167364,203147565116.4344,2745880264.33717,200401684852.0972
eth100_btc50_baseline_or_ret50_long,300,btcusdt,179,0.013362138568905356,4.666526933458919,-0.057681273263024406,4.653164794890014,18410469.960707262,True,653634,79749599,219140740785.2208,3295474122.9666,215845266662.2542
eth100_btc50_baseline_or_ret50_long,300,ethusdt,179,0.059261656412296505,13.025898056586511,-0.11840627398456756,12.966636400174215,15340113.208587542,True,877663,136166997,203146880639.2635,2745880264.33717,200401000374.92633
eth100_btc50_bybit_or_ret50_long,30,btcusdt,179,-0.10882655642065976,6.5785181725915605,-0.111145461965708,6.68734472901222,424376.44956759777,False,13070,80390513,219141953301.80112,75963384.4726,219065989917.3285
eth100_btc50_bybit_or_ret50_long,30,ethusdt,179,-0.03928731348105265,67.91077705586619,-0.06140651223476916,67.95006436934725,369315.00262307265,False,23979,137021196,203147654233.5019,66107385.46953001,203081546848.03235
eth100_btc50_bybit_or_ret50_long,120,btcusdt,179,-0.03653556779181465,13.852251984004802,-0.09779306110383673,13.888787551796616,5375956.871881564,True,175251,80228253,219141785402.404,962296280.0668,218179489122.3372
eth100_btc50_bybit_or_ret50_long,120,ethusdt,179,-0.002259481798598134,28.582369717985934,-0.10694132162675465,28.584629199784533,4141043.744964357,True,220557,136824470,203147565116.4344,741246830.3486199,202406318286.08575
eth100_btc50_bybit_or_ret50_long,300,btcusdt,179,0.013362138568905356,12.151511117672754,-0.040174294124895114,12.13814897910385,5375956.871881564,True,175251,80227982,219140740785.2208,962296280.0668,218178444505.154
eth100_btc50_bybit_or_ret50_long,300,ethusdt,179,0.059261656412296505,30.932679636254864,-0.05380250484119546,30.873417979842568,4141043.744964357,True,220557,136824103,203146880639.2635,741246830.3486199,202405633808.91486
eth100_btc50_liq2_and_ret20_long,30,btcusdt,179,-0.10882655642065976,6.5785181725915605,-0.111145461965708,6.68734472901222,424376.44956759777,False,13070,80390513,219141953301.80112,75963384.4726,219065989917.3285
eth100_btc50_liq2_and_ret20_long,30,ethusdt,179,-0.03928731348105265,67.91077705586619,-0.06140651223476916,67.95006436934725,369315.00262307265,False,23979,137021196,203147654233.5019,66107385.46953001,203081546848.03235
eth100_btc50_liq2_and_ret20_long,120,btcusdt,179,-0.03653556779181465,16.269104159707847,-0.055785865885615404,16.305639727499663,1443641.5041849161,True,43370,80360134,219141785402.404,258411829.2491,218883373573.1549
eth100_btc50_liq2_and_ret20_long,120,ethusdt,179,-0.002259481798598134,55.562234900652896,-0.031207630702547656,55.56449438245149,590956.9171200559,True,26707,137018320,203147565116.4344,105781288.16449,203041783828.2699
