model,horizon_s,feature,coef_on_scaled_feature,abs_coef
ridge_classifier_positive,300,side_aware_neg_trade_flow_5s,-0.010730125941336155,0.010730125941336155
ridge_classifier_positive,300,log_notional,0.0067076049745082855,0.0067076049745082855
ridge_classifier_positive,300,side_aware_return_5s,0.004994289483875036,0.004994289483875036
ridge_classifier_positive,300,side_aware_liq_total_2s,0.004496200010180473,0.004496200010180473
ridge_classifier_positive,300,is_btc,0.0042716278694570065,0.0042716278694570065
ridge_classifier_positive,300,side_aware_book_imbalance,-0.004047770518809557,0.004047770518809557
ridge_classifier_positive,300,spread_bps,0.003859730437397957,0.003859730437397957
ridge_classifier_positive,300,side_aware_bybit_liq_5s,0.003371870843693614,0.003371870843693614
ridge_classifier_positive,300,side_aware_neg_trade_flow_1s,-0.002875404665246606,0.002875404665246606
ridge_classifier_positive,300,side_aware_liq_total_1s,-0.002079120371490717,0.002079120371490717
ridge_classifier_positive,300,side_aware_return_1s,-0.0020115431398153305,0.0020115431398153305
ridge_regressor_clip100,30,side_aware_return_30s,0.4397267699241638,0.4397267699241638
ridge_regressor_clip100,30,side_aware_return_1s,-0.4051404595375061,0.4051404595375061
ridge_regressor_clip100,30,side_aware_return_5s,0.3738658130168915,0.3738658130168915
ridge_regressor_clip100,30,side_aware_bybit_liq_5s,0.32841065526008606,0.32841065526008606
ridge_regressor_clip100,30,log_notional,-0.11175569891929626,0.11175569891929626
ridge_regressor_clip100,30,side_aware_neg_trade_flow_5s,0.09572138637304306,0.09572138637304306
ridge_regressor_clip100,30,side_aware_neg_trade_flow_1s,-0.0930933728814125,0.0930933728814125
ridge_regressor_clip100,30,side_aware_liq_total_2s,-0.06504464894533157,0.06504464894533157
ridge_regressor_clip100,30,side_aware_liq_total_1s,0.06439456343650818,0.06439456343650818
ridge_regressor_clip100,30,is_btc,0.06265219300985336,0.06265219300985336
ridge_regressor_clip100,30,spread_bps,0.039037685841321945,0.039037685841321945
ridge_regressor_clip100,30,side_aware_book_imbalance,0.03305589780211449,0.03305589780211449
ridge_regressor_clip100,120,side_aware_bybit_liq_5s,1.1949069499969482,1.1949069499969482
ridge_regressor_clip100,120,side_aware_return_30s,1.0523627996444702,1.0523627996444702
ridge_regressor_clip100,120,side_aware_return_1s,-0.26873481273651123,0.26873481273651123
ridge_regressor_clip100,120,side_aware_liq_total_2s,0.2525527775287628,0.2525527775287628
ridge_regressor_clip100,120,spread_bps,0.1739346981048584,0.1739346981048584
ridge_regressor_clip100,120,side_aware_liq_total_1s,-0.1517888754606247,0.1517888754606247
ridge_regressor_clip100,120,is_btc,0.12149584293365479,0.12149584293365479
ridge_regressor_clip100,120,side_aware_neg_trade_flow_5s,0.10556422173976898,0.10556422173976898
ridge_regressor_clip100,120,side_aware_neg_trade_flow_1s,-0.09115881472826004,0.09115881472826004
ridge_regressor_clip100,120,log_notional,0.0413285568356514,0.0413285568356514
ridge_regressor_clip100,120,side_aware_return_5s,-0.03138529136776924,0.03138529136776924
ridge_regressor_clip100,120,side_aware_book_imbalance,-0.010171793401241302,0.010171793401241302
ridge_regressor_clip100,300,side_aware_return_30s,1.3380626440048218,1.3380626440048218
ridge_regressor_clip100,300,side_aware_bybit_liq_5s,1.01151704788208,1.01151704788208
ridge_regressor_clip100,300,side_aware_return_5s,-0.2450680136680603,0.2450680136680603
ridge_regressor_clip100,300,spread_bps,0.20688509941101074,0.20688509941101074
ridge_regressor_clip100,300,log_notional,0.16182102262973785,0.16182102262973785
ridge_regressor_clip100,300,side_aware_book_imbalance,-0.12883852422237396,0.12883852422237396
ridge_regressor_clip100,300,is_btc,0.1124156266450882,0.1124156266450882
ridge_regressor_clip100,300,side_aware_liq_total_1s,-0.09687614440917969,0.09687614440917969
ridge_regressor_clip100,300,side_aware_neg_trade_flow_1s,-0.0860944464802742,0.0860944464802742
ridge_regressor_clip100,300,side_aware_liq_total_2s,0.07737000286579132,0.07737000286579132
ridge_regressor_clip100,300,side_aware_return_1s,-0.056125544011592865,0.056125544011592865
ridge_regressor_clip100,300,side_aware_neg_trade_flow_5s,-0.054127518087625504,0.054127518087625504
