rule,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
return1s_gt_20,30,7,0.03781128248772943,24.230960392814488,-0.13670967354162897,24.193149110326758,325386590.4844457,True,934141,222735353,318027088719.6707,2277706133.39112,315749382586.27954
return1s_gt_20,120,7,0.06360578509812853,23.759176606125717,-0.10732581435958473,23.695570821027587,325386590.4844457,True,934141,222735353,318027088719.6707,2277706133.39112,315749382586.27954
return1s_gt_20,300,7,0.05828913094104039,22.557146395971767,-0.1040097935005577,22.498857265030725,325386590.4844457,True,934141,222735353,318027088719.6707,2277706133.39112,315749382586.27954
return30s_gt_50,30,7,0.03781128248772943,14.826447521467584,-0.44550456150908263,14.788636238979855,1437813487.50836,True,4541209,219128285,318027088719.6707,10064694412.55852,307962394307.1122
return30s_gt_50,120,7,0.06360578509812853,22.058281594574616,-0.6552147424008083,21.994675809476487,1437813487.50836,True,4541209,219128285,318027088719.6707,10064694412.55852,307962394307.1122
return30s_gt_50,300,7,0.05828913094104039,18.8519174050434,-0.5559161388537837,18.79362827410236,1437813487.50836,True,4541209,219128285,318027088719.6707,10064694412.55852,307962394307.1122
return5s_gt_100,30,7,0.03781128248772943,82.84630211738914,-0.07089499798333015,82.80849083490142,59562935.945175715,True,178689,223490805,318027088719.6707,416940551.61623,317610148168.05444
return5s_gt_100,120,7,0.06360578509812853,74.63847163504045,-0.03429186043846547,74.57486584994231,59562935.945175715,True,178689,223490805,318027088719.6707,416940551.61623,317610148168.05444
return5s_gt_100,300,7,0.05828913094104039,83.97246755168972,-0.05186863335261553,83.91417842074868,59562935.945175715,True,178689,223490805,318027088719.6707,416940551.61623,317610148168.05444
return5s_gt_20,30,7,0.03781128248772943,12.52759997388429,-0.462521218026117,12.48978869139656,1749893368.74309,True,5614334,218055160,318027088719.6707,12249253581.20163,305777835138.46906
return5s_gt_20,120,7,0.06360578509812853,16.486293731807653,-0.5942760036623034,16.422687946709523,1749893368.74309,True,5614334,218055160,318027088719.6707,12249253581.20163,305777835138.46906
return5s_gt_20,300,7,0.05828913094104039,15.954312243209117,-0.5784948202130343,15.896023112268077,1749893368.74309,True,5614334,218055160,318027088719.6707,12249253581.20163,305777835138.46906
return5s_gt_50,30,7,0.03781128248772943,50.656672683957204,-0.23352078501096588,50.61886140146947,242232881.70866996,True,674834,222994660,318027088719.6707,1695630171.9606898,316331458547.71
return5s_gt_50,120,7,0.06360578509812853,52.437227292429675,-0.2171323155333857,52.37362150733155,242232881.70866996,True,674834,222994660,318027088719.6707,1695630171.9606898,316331458547.71
return5s_gt_50,300,7,0.05828913094104039,55.52168257199442,-0.23901106104663863,55.46339344105338,242232881.70866996,True,674834,222994660,318027088719.6707,1695630171.9606898,316331458547.71
