date,split,symbol,rule,horizon_s,pnl_all,pnl_kept,pnl_filtered,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover,kept_trade_count,filtered_trade_count
2026-02-01,validation,btcusdt,return5s_gt_20,120,-0.570508366859986,-0.3429748164101101,-0.5716028161840204,13595179919.170898,65080547.82169999,13530099371.349201,19398,6740117
2026-02-01,validation,btcusdt,return5s_gt_20,300,0.13480203601789822,-14.468759365506031,0.2050459972833678,13595179919.170898,65080547.82169999,13530099371.349201,19398,6740117
2026-02-01,validation,btcusdt,return5s_gt_50,30,-0.3296051671913012,,-0.3296051671913012,13595179919.170898,0.0,13595179919.170898,0,6759515
2026-02-01,validation,btcusdt,return5s_gt_50,120,-0.570508366859986,,-0.570508366859986,13595179919.170898,0.0,13595179919.170898,0,6759515
2026-02-01,validation,btcusdt,return5s_gt_50,300,0.13480203601789822,,0.13480203601789822,13595179919.170898,0.0,13595179919.170898,0,6759515
2026-02-01,validation,btcusdt,return5s_gt_100,30,-0.3296051671913012,,-0.3296051671913012,13595179919.170898,0.0,13595179919.170898,0,6759515
2026-02-01,validation,btcusdt,return5s_gt_100,120,-0.570508366859986,,-0.570508366859986,13595179919.170898,0.0,13595179919.170898,0,6759515
2026-02-01,validation,btcusdt,return5s_gt_100,300,0.13480203601789822,,0.13480203601789822,13595179919.170898,0.0,13595179919.170898,0,6759515
2026-02-01,validation,btcusdt,return30s_gt_50,30,-0.3296051671913012,-2.6731706765270133,-0.3259092362870026,13595179919.170898,21406582.4758,13573773336.6951,4851,6754664
2026-02-01,validation,btcusdt,return30s_gt_50,120,-0.570508366859986,-27.809093292808203,-0.5275516296080759,13595179919.170898,21406582.4758,13573773336.6951,4851,6754664
2026-02-01,validation,btcusdt,return30s_gt_50,300,0.13480203601789822,-32.30918084339771,0.18596797036233834,13595179919.170898,21406582.4758,13573773336.6951,4851,6754664
2026-02-01,validation,btcusdt,neg_return30s_gt_50,30,-0.3296051671913012,7.815994652161078,-0.34007766730279276,13595179919.170898,17456383.126900002,13577723536.043999,5199,6754316
2026-02-01,validation,btcusdt,neg_return30s_gt_50,120,-0.570508366859986,34.674009322355275,-0.6158209556951098,13595179919.170898,17456383.126900002,13577723536.043999,5199,6754316
2026-02-01,validation,btcusdt,neg_return30s_gt_50,300,0.13480203601789822,35.50166202629663,0.08933215615572405,13595179919.170898,17456383.126900002,13577723536.043999,5199,6754316
2026-02-01,validation,btcusdt,baseline_or_return5s_gt_50,30,-0.3296051671913012,4.6541322633673685,-0.3734105310320733,13595179919.170898,118455839.6009,13476724079.57,28188,6731327
