variant,horizon_s,symbol,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
current_hybrid,300,btcusdt,90,-0.022735974375751172,6.464409317248976,-0.12797238318307658,6.487145291624728,19564786.701583333,True,349018,39841279,110304683481.2332,1760830803.1425,108543852678.0907
current_hybrid,300,ethusdt,90,0.19488446970022846,19.227002842090695,-0.07756452274501595,19.032118372390467,16098875.544759555,True,445839,70142238,102662756135.1466,1448898799.02836,101213857336.11826
eth100_btc50_bybit300,30,btcusdt,90,-0.13395581871784798,17.082464012258534,-0.13843733337350722,17.21641983097638,318948.36892777774,False,6071,40184226,110304683481.2332,28705353.2035,110275978128.0297
eth100_btc50_bybit300,30,ethusdt,90,0.037604736675293744,75.2968394164637,-0.004533139098060593,75.2592346797884,638322.5044405556,True,21544,70566533,102662756135.1466,57449025.39965001,102605307109.74696
eth100_btc50_bybit300,120,btcusdt,90,-0.05651229912538141,6.585784430310739,-0.164265620904834,6.64229672943612,19564786.701583333,True,349018,39841279,110304683481.2332,1760830803.1425,108543852678.0907
eth100_btc50_bybit300,120,ethusdt,90,0.10954968389910831,17.52119442260719,-0.13970186934665532,17.411644738708084,16098875.544759555,True,445839,70142238,102662756135.1466,1448898799.02836,101213857336.11826
eth100_btc50_bybit300,300,btcusdt,90,-0.022735974375751172,21.29026281549025,-0.12736648373202827,21.312998789866004,5987401.549642222,True,98883,40091414,110304683481.2332,538866139.4678,109765817341.7654
eth100_btc50_bybit300,300,ethusdt,90,0.19488446970022846,57.08377683189088,0.07237506739778743,56.88889236219065,2451196.408589111,True,56874,70531203,102662756135.1466,220607676.77302,102442148458.3736
eth100_btc50_bybit_long,30,btcusdt,90,-0.13395581871784798,17.082464012258534,-0.13843733337350722,17.21641983097638,318948.36892777774,False,6071,40184226,110304683481.2332,28705353.2035,110275978128.0297
eth100_btc50_bybit_long,30,ethusdt,90,0.037604736675293744,75.2968394164637,-0.004533139098060593,75.2592346797884,638322.5044405556,True,21544,70566533,102662756135.1466,57449025.39965001,102605307109.74696
