variant,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
current_hybrid,300,90,0.08216980192713616,12.225550822166916,-0.10364920576732761,12.14338102023978,35663662.24634289,True,794857,109983517,212967439616.37982,3209729602.17086,209757710014.20895
eth100_btc50_bybit300,30,90,-0.05125360145654897,55.90067830901473,-0.07389769588696439,55.95193191047128,957270.8733683334,True,27615,110750759,212967439616.37982,86154378.60315001,212881285237.77667
eth100_btc50_bybit300,120,90,0.02353928480346446,11.522120000137233,-0.15241293598716907,11.49858071533377,35663662.24634289,True,794857,109983517,212967439616.37982,3209729602.17086,209757710014.20895
eth100_btc50_bybit300,300,90,0.08216980192713616,31.68736117733403,-0.030942423697364867,31.605191375406893,8438597.958231334,True,155757,110622617,212967439616.37982,759473816.24082,212207965800.13898
eth100_btc50_bybit_long,30,90,-0.05125360145654897,55.90067830901473,-0.07389769588696439,55.95193191047128,957270.8733683334,True,27615,110750759,212967439616.37982,86154378.60315001,212881285237.77667
eth100_btc50_bybit_long,120,90,0.02353928480346446,33.97108349858647,-0.09795601749978611,33.947544213783004,8438597.958231334,True,155757,110622617,212967439616.37982,759473816.24082,212207965800.13898
eth100_btc50_bybit_long,300,90,0.08216980192713616,31.68736117733403,-0.030942423697364867,31.605191375406893,8438597.958231334,True,155757,110622617,212967439616.37982,759473816.24082,212207965800.13898
eth100_btc50_hybrid,30,90,-0.05125360145654897,55.90067830901473,-0.07389769588696439,55.95193191047128,957270.8733683334,True,27615,110750759,212967439616.37982,86154378.60315001,212881285237.77667
eth100_btc50_hybrid,120,90,0.02353928480346446,11.522120000137233,-0.15241293598716907,11.49858071533377,35663662.24634289,True,794857,109983517,212967439616.37982,3209729602.17086,209757710014.20895
eth100_btc50_hybrid,300,90,0.08216980192713616,12.225550822166916,-0.10364920576732761,12.14338102023978,35663662.24634289,True,794857,109983517,212967439616.37982,3209729602.17086,209757710014.20895
eth100_btc50_liq2_120_bybit300,30,90,-0.05125360145654897,55.90067830901473,-0.07389769588696439,55.95193191047128,957270.8733683334,True,27615,110750759,212967439616.37982,86154378.60315001,212881285237.77667
eth100_btc50_liq2_120_bybit300,120,90,0.02353928480346446,29.079086274411566,-0.03014936426213816,29.0555469896081,4364378.168836,True,78799,110699575,212967439616.37982,392794035.19524,212574645581.18457
eth100_btc50_liq2_120_bybit300,300,90,0.08216980192713616,31.68736117733403,-0.030942423697364867,31.605191375406893,8438597.958231334,True,155757,110622617,212967439616.37982,759473816.24082,212207965800.13898
eth100_btc50_liq2_300,30,90,-0.05125360145654897,55.90067830901473,-0.07389769588696439,55.95193191047128,957270.8733683334,True,27615,110750759,212967439616.37982,86154378.60315001,212881285237.77667
eth100_btc50_liq2_300,120,90,0.02353928480346446,11.522120000137233,-0.15241293598716907,11.49858071533377,35663662.24634289,True,794857,109983517,212967439616.37982,3209729602.17086,209757710014.20895
eth100_btc50_liq2_300,300,90,0.08216980192713616,27.0388291077026,0.03235946375086938,26.956659305775464,4364378.168836,True,78799,110699575,212967439616.37982,392794035.19524,212574645581.18457
eth100_btc50_liq2_long,30,90,-0.05125360145654897,55.90067830901473,-0.07389769588696439,55.95193191047128,957270.8733683334,True,27615,110750759,212967439616.37982,86154378.60315001,212881285237.77667
eth100_btc50_liq2_long,120,90,0.02353928480346446,29.079086274411566,-0.03014936426213816,29.0555469896081,4364378.168836,True,78799,110699575,212967439616.37982,392794035.19524,212574645581.18457
eth100_btc50_liq2_long,300,90,0.08216980192713616,27.0388291077026,0.03235946375086938,26.956659305775464,4364378.168836,True,78799,110699575,212967439616.37982,392794035.19524,212574645581.18457
liq2_120_bybit300_hybrid,30,90,-0.05125360145654897,30.46647332370434,-0.10737960969893166,30.517726925160886,4343948.659262111,True,128368,110650006,212967439616.37982,390955379.33359003,212576484237.04623
liq2_120_bybit300_hybrid,120,90,0.02353928480346446,29.079086274411566,-0.03014936426213816,29.0555469896081,4364378.168836,True,78799,110699575,212967439616.37982,392794035.19524,212574645581.18457
liq2_120_bybit300_hybrid,300,90,0.08216980192713616,31.68736117733403,-0.030942423697364867,31.605191375406893,8438597.958231334,True,155757,110622617,212967439616.37982,759473816.24082,212207965800.13898
liq2_300_hybrid,30,90,-0.05125360145654897,30.46647332370434,-0.10737960969893166,30.517726925160886,4343948.659262111,True,128368,110650006,212967439616.37982,390955379.33359003,212576484237.04623
liq2_300_hybrid,120,90,0.02353928480346446,11.522120000137233,-0.15241293598716907,11.49858071533377,35663662.24634289,True,794857,109983517,212967439616.37982,3209729602.17086,209757710014.20895
liq2_300_hybrid,300,90,0.08216980192713616,27.0388291077026,0.03235946375086938,26.956659305775464,4364378.168836,True,78799,110699575,212967439616.37982,392794035.19524,212574645581.18457
liq2_long_hybrid,30,90,-0.05125360145654897,30.46647332370434,-0.10737960969893166,30.517726925160886,4343948.659262111,True,128368,110650006,212967439616.37982,390955379.33359003,212576484237.04623
liq2_long_hybrid,120,90,0.02353928480346446,29.079086274411566,-0.03014936426213816,29.0555469896081,4364378.168836,True,78799,110699575,212967439616.37982,392794035.19524,212574645581.18457
liq2_long_hybrid,300,90,0.08216980192713616,27.0388291077026,0.03235946375086938,26.956659305775464,4364378.168836,True,78799,110699575,212967439616.37982,392794035.19524,212574645581.18457
negret120_bybit300,30,90,-0.05125360145654897,30.46647332370434,-0.10737960969893166,30.517726925160886,4343948.659262111,True,128368,110650006,212967439616.37982,390955379.33359003,212576484237.04623
negret120_bybit300,120,90,0.02353928480346446,-13.583044352344363,0.14888316398009108,-13.606583637147827,21599431.922509,True,824033,109954341,212967439616.37982,1943948873.02581,211023490743.354
negret120_bybit300,300,90,0.08216980192713616,31.68736117733403,-0.030942423697364867,31.605191375406893,8438597.958231334,True,155757,110622617,212967439616.37982,759473816.24082,212207965800.13898
negret120_liq2_300,30,90,-0.05125360145654897,30.46647332370434,-0.10737960969893166,30.517726925160886,4343948.659262111,True,128368,110650006,212967439616.37982,390955379.33359003,212576484237.04623
negret120_liq2_300,120,90,0.02353928480346446,-13.583044352344363,0.14888316398009108,-13.606583637147827,21599431.922509,True,824033,109954341,212967439616.37982,1943948873.02581,211023490743.354
negret120_liq2_300,300,90,0.08216980192713616,27.0388291077026,0.03235946375086938,26.956659305775464,4364378.168836,True,78799,110699575,212967439616.37982,392794035.19524,212574645581.18457
ret30_long_hybrid,30,90,-0.05125360145654897,30.46647332370434,-0.10737960969893166,30.517726925160886,4343948.659262111,True,128368,110650006,212967439616.37982,390955379.33359003,212576484237.04623
