date,symbol,horizon_s,strategy,pnl_all,pnl_kept,pnl_filtered,score,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover,kept_trade_count,filtered_trade_count,split,all_weighted_pnl_sum,kept_weighted_pnl_sum,filtered_weighted_pnl_sum
2026-02-15,btcusdt,30,synthetic_maker_q95_30s_60s,-0.2043581882723604,-0.32309089839706817,4.610558618834921,-0.11873271012470776,9511380700.2625,9282480774.6343,228899925.62820005,3853529,92395,validation,-1943728527.8743393,-2999085052.830109,1055356524.9557703
2026-02-15,btcusdt,120,synthetic_maker_q95_30s_60s,-0.5348574627041964,-0.6080307365505451,2.4325070125427204,-0.07317327384634864,9511380700.2625,9282480774.6343,228899925.62820005,3853529,92395,validation,-5087232948.156064,-5644033622.417168,556800674.2611037
2026-02-15,btcusdt,300,synthetic_maker_q95_30s_60s,-0.8719262033890705,-1.0223391210200603,5.227704507868378,-0.15041291763098985,9511380700.2625,9282480774.6343,228899925.62820005,3853529,92395,validation,-8293222062.96796,-9489843236.025238,1196621173.057278
2026-02-15,ethusdt,30,synthetic_maker_q95_30s_60s,0.4431147925556904,0.38857557548620597,2.1246160075673144,-0.05453921706948445,9995075265.984669,9681071300.706108,314003965.27856004,7649125,245770,validation,4428965703.065309,3761827851.9948688,667137851.0704398
2026-02-15,ethusdt,120,synthetic_maker_q95_30s_60s,0.0761086807860221,-0.15131041147038363,7.087677612162355,-0.22741909225640572,9995075265.984669,9681071300.706108,314003965.27856004,7649125,245770,validation,760711992.8510921,-1464846881.9839633,2225558874.8350554
2026-02-15,ethusdt,300,synthetic_maker_q95_30s_60s,-0.6170962812992509,-0.8863145994273153,7.68318658596277,-0.2692183181280644,9995075265.984669,9681071300.706108,314003965.27856004,7649125,245770,validation,-6167923777.94526,-8580474831.912612,2412551053.967352
2026-02-16,btcusdt,30,synthetic_maker_q95_30s_60s,-0.4259973832231328,-0.4639339291078361,1.1239098404183343,-0.0379365458847033,9430790097.4375,9205470951.9858,225319145.45169997,3973055,99196,validation,-4017491903.2350087,-4270730308.0428243,253238404.80781558
2026-02-16,btcusdt,120,synthetic_maker_q95_30s_60s,-0.8882859208816226,-1.0179560019118263,4.409418195083365,-0.12967008103020372,9430790097.4375,9205470951.9858,225319145.45169997,3973055,99196,validation,-8377238066.343557,-9370764405.998919,993526339.655361
2026-02-16,btcusdt,300,synthetic_maker_q95_30s_60s,-1.267117039754583,-1.3818574308642835,3.4206308001477144,-0.11474039110970047,9430790097.4375,9205470951.9858,225319145.45169997,3973055,99196,validation,-11949914830.81184,-12720648439.606888,770733608.7950478
2026-02-16,ethusdt,30,synthetic_maker_q95_30s_60s,-0.08131351928462069,-0.07652316535055777,-0.2396498568796014,0.004790353934062921,7932571896.14237,7699625180.71685,232946715.42551982,6903882,190979,validation,-645025337.8536128,-589199690.8413137,-55825647.01229906
2026-02-16,ethusdt,120,synthetic_maker_q95_30s_60s,-0.3962786464450834,-0.5316274196244662,4.077426081468592,-0.13534877317938282,7932571896.14237,7699625180.71685,232946715.42551982,6903882,190979,validation,-3143508853.8316073,-4093331866.9000635,949823013.0684565
2026-02-16,ethusdt,300,synthetic_maker_q95_30s_60s,0.1402390939658297,0.06737082337539084,2.5487657395918744,-0.07286827059043886,7932571896.14237,7699625180.71685,232946715.42551982,6903882,190979,validation,1112456695.5338097,518730088.10678667,593726607.4270229
2026-02-17,btcusdt,30,synthetic_maker_q95_30s_60s,-0.1779782203891171,-0.15751202356125396,-0.830056841631829,0.02046619682786313,9532691575.8291,9242602444.4461,290089131.383,4415972,130490,validation,-1696611482.1843915,-1455821013.9968977,-240790468.18749368
2026-02-17,btcusdt,120,synthetic_maker_q95_30s_60s,-0.2712324449824706,-0.254826346571636,-0.7939512540356837,0.016406098410834624,9532691575.8291,9242602444.4461,290089131.383,4415972,130490,validation,-2585575243.3759274,-2355258613.732272,-230316629.64365506
