strategy,split,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
sym_both_q95_win60,train,300,7,-0.08505801517955065,-0.3899510905651868,2.3465992318999995,-0.30489307538563615,24864422351.356445,True,75506091,8479149,195874316413.89697,174050956459.49512,21823359954.40186
sym_both_q95_win90,train,30,7,0.030236575191214074,0.013222535397982418,0.13741019735743912,-0.017014039793231656,24148430629.887028,True,73368418,10616822,195874316413.89697,169039014409.2092,26835302004.68777
sym_both_q95_win90,train,120,7,-0.00946338082190134,-0.21968943454057283,1.3147775357712477,-0.21022605371867148,24148430629.887028,True,73368418,10616822,195874316413.89697,169039014409.2092,26835302004.68777
sym_both_q95_win90,train,300,7,-0.08505801517955065,-0.445283588920291,2.18404914595803,-0.3602255737407404,24148430629.887028,True,73368418,10616822,195874316413.89697,169039014409.2092,26835302004.68777
sym_both_q97_win20,train,30,7,0.030236575191214074,0.05386389736821848,-0.4418712963371105,0.023627322177004403,26648388028.652138,True,80609246,3375994,195874316413.89697,186538716200.56497,9335600213.331991
sym_both_q97_win20,train,120,7,-0.00946338082190134,-0.06473048500093377,1.094852830893855,-0.05526710417903243,26648388028.652138,True,80609246,3375994,195874316413.89697,186538716200.56497,9335600213.331991
sym_both_q97_win20,train,300,7,-0.08505801517955065,-0.20445802968855642,2.300725963555049,-0.11940001450900577,26648388028.652138,True,80609246,3375994,195874316413.89697,186538716200.56497,9335600213.331991
sym_both_q97_win30,train,30,7,0.030236575191214074,0.030412478957092797,0.027462997905581644,0.0001759037658787231,26313227182.11848,True,79671631,4313609,195874316413.89697,184192590274.82938,11681726139.067581
sym_both_q97_win30,train,120,7,-0.00946338082190134,-0.10737404164606001,1.5343511221057897,-0.09791066082415867,26313227182.11848,True,79671631,4313609,195874316413.89697,184192590274.82938,11681726139.067581
sym_both_q97_win30,train,300,7,-0.08505801517955065,-0.25820703266024914,2.6450835455484953,-0.1731490174806985,26313227182.11848,True,79671631,4313609,195874316413.89697,184192590274.82938,11681726139.067581
sym_both_q97_win45,train,30,7,0.030236575191214074,0.021579491444741614,0.13771477618194028,-0.00865708374647246,25896176903.997005,True,78469298,5515942,195874316413.89697,181273238327.97903,14601078085.91793
