strategy,split,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
guard_q95w30_ret10s_gt-50,train,300,7,-0.08505801517955065,-0.29786085644157545,2.509585603775472,-0.2128028412620248,25861022127.214153,True,78456705,5528535,195874316413.89697,181027154890.49908,14847161523.39789
guard_q95w30_ret10s_gt0,train,30,7,0.030236575191214074,-0.02488130201820721,2.10710119493614,-0.05511787720942128,27258628882.332195,True,81871653,2113587,195874316413.89697,190810402176.32538,5063914237.571569
guard_q95w30_ret10s_gt0,train,120,7,-0.00946338082190134,-0.0831538715368901,2.7672250681200725,-0.07369049071498876,27258628882.332195,True,81871653,2113587,195874316413.89697,190810402176.32538,5063914237.571569
guard_q95w30_ret10s_gt0,train,300,7,-0.08505801517955065,-0.1742809217855539,3.2768983478485243,-0.08922290660600325,27258628882.332195,True,81871653,2113587,195874316413.89697,190810402176.32538,5063914237.571569
guard_q95w30_ret10s_gt100,train,30,7,0.030236575191214074,0.029883567302001774,26.06779849369928,-0.00035300788921229995,27981665836.635155,True,83984490,750,195874316413.89697,195871660856.44608,2655557.45088
guard_q95w30_ret10s_gt100,train,120,7,-0.00946338082190134,-0.008904062518622384,-41.264306116141,0.0005593183032789571,27981665836.635155,True,83984490,750,195874316413.89697,195871660856.44608,2655557.45088
guard_q95w30_ret10s_gt100,train,300,7,-0.08505801517955065,-0.08509626486607046,2.736206357539195,-3.824968651980343e-05,27981665836.635155,True,83984490,750,195874316413.89697,195871660856.44608,2655557.45088
guard_q95w30_ret10s_gt20,train,30,7,0.030236575191214074,0.01479862460767435,9.525738331732958,-0.015437950583539724,27936625354.487877,True,83834505,150735,195874316413.89697,195556377481.41513,317938932.48182
guard_q95w30_ret10s_gt20,train,120,7,-0.00946338082190134,-0.017240633100671934,4.774132231465757,-0.0077772522787705935,27936625354.487877,True,83834505,150735,195874316413.89697,195556377481.41513,317938932.48182
guard_q95w30_ret10s_gt20,train,300,7,-0.08505801517955065,-0.09828568969934846,8.050957575622002,-0.01322767451979781,27936625354.487877,True,83834505,150735,195874316413.89697,195556377481.41513,317938932.48182
guard_q95w30_ret10s_gt50,train,30,7,0.030236575191214074,0.028663881232042714,16.19105144686325,-0.0015726939591713604,27979322386.85195,True,83977696,7544,195874316413.89697,195855256707.96365,19059705.9333
guard_q95w30_ret10s_gt50,train,120,7,-0.00946338082190134,-0.006502909212026248,-30.43091527298822,0.0029604716098750924,27979322386.85195,True,83977696,7544,195874316413.89697,195855256707.96365,19059705.9333
guard_q95w30_ret10s_gt50,train,300,7,-0.08505801517955065,-0.08543648811952076,3.8040846124281935,-0.00037847293997010645,27979322386.85195,True,83977696,7544,195874316413.89697,195855256707.96365,19059705.9333
guard_q95w30_ret10s_lt-100,train,30,7,0.030236575191214074,0.03172051702903488,-4.890399716785719,0.0014839418378208083,27973609055.44466,True,83968393,16847,195874316413.89697,195815263388.1126,59053025.78435
guard_q95w30_ret10s_lt-100,train,120,7,-0.00946338082190134,0.0010635390540615181,-34.91591501134107,0.010526919875962859,27973609055.44466,True,83968393,16847,195874316413.89697,195815263388.1126,59053025.78435
