strategy,date,symbol,horizon_s,pnl_all,pnl_kept,pnl_filtered,score,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover,kept_trade_count,filtered_trade_count
task3_maker_q90_win60,2025-12-25,ethusdt,30,0.0820960466645157,0.3134786578951354,-2.145857474538399,0.2313826112306196,5111681956.52001,4630757733.40062,480924223.11939,2704932,254012
task3_maker_q90_win60,2025-12-25,ethusdt,120,0.1668512759838957,0.2533126326302283,-0.665674050632722,0.0864613566463325,5111681956.52001,4630757733.40062,480924223.11939,2704932,254012
task3_maker_q90_win60,2025-12-25,ethusdt,300,-0.0182033536127163,0.1094761752403594,-1.2476131799639862,0.1276795288530757,5111681956.52001,4630757733.40062,480924223.11939,2704932,254012
task3_maker_q95_win30,2025-12-25,ethusdt,30,0.0820960466645157,0.2200249896522913,-2.545078958426823,0.1379289429877755,5111681956.52001,4856700985.68082,254980970.83919,2825217,133727
task3_maker_q95_win30,2025-12-25,ethusdt,120,0.1668512759838957,0.1910391046699091,-0.2938617373606473,0.0241878286860134,5111681956.52001,4856700985.68082,254980970.83919,2825217,133727
task3_maker_q95_win30,2025-12-25,ethusdt,300,-0.0182033536127163,0.0429191063676085,-1.1824216505965277,0.0611224599803248,5111681956.52001,4856700985.68082,254980970.83919,2825217,133727
task3_maker_q95_win60,2025-12-25,ethusdt,30,0.0820960466645157,0.2393638646213129,-1.900390521453849,0.1572678179567972,5111681956.52001,4735983197.53039,375698758.98962,2761400,197544
task3_maker_q95_win60,2025-12-25,ethusdt,120,0.1668512759838957,0.2175294589374115,-0.4719877332124398,0.0506781829535158,5111681956.52001,4735983197.53039,375698758.98962,2761400,197544
task3_maker_q95_win60,2025-12-25,ethusdt,300,-0.0182033536127163,0.014102714675073,-0.4254471704427496,0.0323060682877893,5111681956.52001,4735983197.53039,375698758.98962,2761400,197544
task3_maker_q99_win30,2025-12-25,ethusdt,30,0.0820960466645157,0.0980573212752592,-0.8594356310574947,0.0159612746107435,5111681956.52001,5026470927.83095,85211028.68905999,2913814,45130
task3_maker_q99_win30,2025-12-25,ethusdt,120,0.1668512759838957,0.1758999456240657,-0.3669161902889275,0.0090486696401699,5111681956.52001,5026470927.83095,85211028.68905999,2913814,45130
task3_maker_q99_win30,2025-12-25,ethusdt,300,-0.0182033536127163,0.0178076290917636,-2.1424372753413308,0.0360109827044799,5111681956.52001,5026470927.83095,85211028.68905999,2913814,45130
task3_maker_q99_win60,2025-12-25,ethusdt,30,0.0820960466645157,0.0845403289755615,-0.0163046960999813,0.0024442823110458,5111681956.52001,4987784979.186179,123896977.33383,2892486,66458
task3_maker_q99_win60,2025-12-25,ethusdt,120,0.1668512759838957,0.1925437284650935,-0.8674631304030146,0.0256924524811978,5111681956.52001,4987784979.186179,123896977.33383,2892486,66458
task3_maker_q99_win60,2025-12-25,ethusdt,300,-0.0182033536127163,0.0193045884749451,-1.5281800630601736,0.0375079420876614,5111681956.52001,4987784979.186179,123896977.33383,2892486,66458
no_filter,2025-12-26,btcusdt,30,-0.0949292027908492,-0.0949292027908492,,0.0,12087820359.9366,12087820359.9366,0.0,3606962,0
no_filter,2025-12-26,btcusdt,120,-0.2582303208291458,-0.2582303208291458,,0.0,12087820359.9366,12087820359.9366,0.0,3606962,0
no_filter,2025-12-26,btcusdt,300,-0.2868594411813662,-0.2868594411813662,,0.0,12087820359.9366,12087820359.9366,0.0,3606962,0
task3_maker_q90_win30,2025-12-26,btcusdt,30,-0.0949292027908492,-0.1407370621716316,0.3461015721234757,-0.0458078593807823,12087820359.9366,10950447242.3124,1137373117.6242,3315303,291659
task3_maker_q90_win30,2025-12-26,btcusdt,120,-0.2582303208291458,-0.5984531533505109,3.0173809279556805,-0.340222832521365,12087820359.9366,10950447242.3124,1137373117.6242,3315303,291659
task3_maker_q90_win30,2025-12-26,btcusdt,300,-0.2868594411813662,-2.010144228285198,16.304652044581704,-1.7232847871038317,12087820359.9366,10950447242.3124,1137373117.6242,3315303,291659
task3_maker_q90_win60,2025-12-26,btcusdt,30,-0.0949292027908492,-0.2024676244263261,0.6195997187762657,-0.1075384216354768,12087820359.9366,10506556813.5018,1581263546.4348,3184854,422108
task3_maker_q90_win60,2025-12-26,btcusdt,120,-0.2582303208291458,-0.5952866622868026,1.9813088178933884,-0.3370563414576568,12087820359.9366,10506556813.5018,1581263546.4348,3184854,422108
task3_maker_q90_win60,2025-12-26,btcusdt,300,-0.2868594411813662,-2.6165903315471457,15.192818196987394,-2.3297308903657794,12087820359.9366,10506556813.5018,1581263546.4348,3184854,422108
task3_maker_q95_win30,2025-12-26,btcusdt,30,-0.0949292027908492,-0.1980955756349904,1.2893964194469596,-0.1031663728441412,12087820359.9366,11249458482.1925,838361877.7441001,3392588,214374
