threshold_label,threshold,relation,bin_start_s,bin_end_s,large_liq_count,trade_count,weight_sum,weighted_pnl_sum,avg_markout_bps
q90,16684.13,same_direction,260,270,36188,43292625,106480987619.42113,183431249329.12106,1.7226666790951601
q90,16684.13,same_direction,270,280,36188,43194021,106289370572.41278,24883064005.023357,0.23410679610781054
q90,16684.13,same_direction,280,290,36188,44230103,113195775956.82654,-109386022793.9846,-0.96634368084287
q90,16684.13,same_direction,290,300,36188,43152895,109882996239.86679,-231722068407.06573,-2.108807334496348
q95,38929.53,opposite_direction,0,10,18094,59890745,206339011205.70447,-1065261505394.981,-5.162676215080799
q95,38929.53,opposite_direction,10,20,18094,45230030,145070834517.60553,-907449732610.1024,-6.255218256843873
q95,38929.53,opposite_direction,20,30,18094,40041773,122740704512.91359,-1722483966596.0425,-14.033518655702514
q95,38929.53,opposite_direction,30,40,18094,36464935,107853915655.60564,-1657637277936.1458,-15.36928230987218
q95,38929.53,opposite_direction,40,50,18094,35041505,100412759984.0275,-1440761916502.2751,-14.348394733213736
q95,38929.53,opposite_direction,50,60,18094,33186050,92994225187.65338,-891976735595.6605,-9.591743291540281
q95,38929.53,opposite_direction,60,70,18094,31422617,86535210551.40175,-587834155579.1222,-6.793005434821816
q95,38929.53,opposite_direction,70,80,18094,30178971,82033773419.04767,-405775087664.68085,-4.946439384080103
q95,38929.53,opposite_direction,80,90,18094,29474328,79459349268.35071,-179520164435.28925,-2.259270508609533
q95,38929.53,opposite_direction,90,100,18094,28942645,77156417312.00157,-266580610114.2028,-3.4550672439366434
q95,38929.53,opposite_direction,100,110,18094,28804488,76109328921.3873,-340753265683.56213,-4.4771550414736065
q95,38929.53,opposite_direction,110,120,18094,28026042,73072387709.0792,-401967404096.05475,-5.500947987308078
q95,38929.53,opposite_direction,120,130,18094,27461979,72048479029.42668,-351678889290.65137,-4.881142447809558
q95,38929.53,opposite_direction,130,140,18094,27048054,71791909717.8185,-257499774769.51483,-3.5867519861448165
q95,38929.53,opposite_direction,140,150,18094,26164805,68784268593.88547,-118232983959.66942,-1.718895706483963
q95,38929.53,opposite_direction,150,160,18094,26334940,68245336439.32986,5517461091.245791,0.08084744510199342
q95,38929.53,opposite_direction,160,170,18094,24962706,63975725338.472404,122100106829.94443,1.9085380616469287
q95,38929.53,opposite_direction,170,180,18094,24818671,64156753798.295105,250813193424.90753,3.909380986036931
q95,38929.53,opposite_direction,180,190,18094,24669680,63538565444.95724,259515858515.33585,4.084383345735931
q95,38929.53,opposite_direction,190,200,18094,23864515,60827100237.6343,79399653480.00897,1.3053335301176112
q95,38929.53,opposite_direction,200,210,18094,23780645,60675513695.11607,-96890260070.32216,-1.5968593287430395
q95,38929.53,opposite_direction,210,220,18094,23546421,60418273183.1514,-251518941439.517,-4.162961438455296
q95,38929.53,opposite_direction,220,230,18094,23323671,59797862576.90281,-330550672169.81024,-5.527800792958224
q95,38929.53,opposite_direction,230,240,18094,22708629,56327349290.75171,-306543540915.5712,-5.442179416845062
q95,38929.53,opposite_direction,240,250,18094,22455472,55150038362.28663,-242219870601.88882,-4.392016357463254
q95,38929.53,opposite_direction,250,260,18094,22327530,54375624333.4133,-211415266901.5011,-3.888052219964828
q95,38929.53,opposite_direction,260,270,18094,22043012,53075801796.36099,-79322649470.1471,-1.4945162726790056
q95,38929.53,opposite_direction,270,280,18094,21920271,52170537448.16479,-25508966358.983997,-0.48895348997178734
q95,38929.53,opposite_direction,280,290,18094,22151141,54211649805.98642,33547994802.048965,0.6188336809912833
q95,38929.53,opposite_direction,290,300,18094,21420148,52272378295.37668,48120702655.009766,0.920576109682499
q95,38929.53,same_direction,0,10,18094,79015243,356148805182.6621,3181814303600.477,8.933946309236061
q95,38929.53,same_direction,10,20,18094,48499885,189988811551.51572,1857086249278.0906,9.774713753470367
q95,38929.53,same_direction,20,30,18094,42011764,152692773639.88342,3027660025525.406,19.82844343810243
q95,38929.53,same_direction,30,40,18094,35979304,118598312549.92738,2041372846726.7039,17.212494873123333
q95,38929.53,same_direction,40,50,18094,33140024,106024276723.65378,1584116487668.531,14.941073276995231
q95,38929.53,same_direction,50,60,18094,31816203,98183284353.58554,749741936997.169,7.636146437077191
q95,38929.53,same_direction,60,70,18094,30675820,93691499795.16673,565172825801.894,6.032274294226312
q95,38929.53,same_direction,70,80,18094,29507592,88809793006.78044,342410236531.78766,3.8555459363095843
q95,38929.53,same_direction,80,90,18094,28590151,83896988954.00224,255815820220.50504,3.049165690091212
q95,38929.53,same_direction,90,100,18094,27818402,80226585615.93274,355346537794.208,4.429286564622754
q95,38929.53,same_direction,100,110,18094,28382650,81206755338.53615,543439471247.5986,6.692047588677796
q95,38929.53,same_direction,110,120,18094,27524027,78271735295.21048,440541914575.543,5.628365244669619
q95,38929.53,same_direction,120,130,18094,26571464,74219654648.4739,354620462629.89465,4.7779858894450715
q95,38929.53,same_direction,130,140,18094,26549859,76677963180.69548,326270322439.7529,4.255072890641089
q95,38929.53,same_direction,140,150,18094,25587443,70427855934.19269,36250156515.828735,0.5147133337368759
q95,38929.53,same_direction,150,160,18094,25147283,69319292987.94463,-19218776393.84024,-0.2772500348089614
q95,38929.53,same_direction,160,170,18094,24754100,66865463210.99512,-123687112030.32867,-1.8497907004701646
q95,38929.53,same_direction,170,180,18094,25201678,68942256884.18903,-400616309534.7544,-5.810896359365199
