date,split,symbol,variant,horizon_s,rule,pnl_all,pnl_kept,pnl_filtered,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover,kept_trade_count,filtered_trade_count
2026-02-17,validation,btcusdt,eth100_btc50_baseline_or_ret50_long,30,return5s_gt_50,-0.1839927980780013,,-0.1839927980780013,956482495.3003,0.0,956482495.3003,0,473566
2026-02-17,validation,btcusdt,eth100_btc50_baseline_or_ret50_long,120,baseline_or_return5s_gt_50,-0.24752334765512066,-6.076764991520321,-0.1983407979553565,956482495.3003,8002526.921,948479968.3793001,2056,471510
2026-02-17,validation,btcusdt,eth100_btc50_baseline_or_ret50_long,300,baseline_or_return5s_gt_50,-0.22656347643131375,-17.6524726830906,-0.07953737973105568,956482495.3003,8002526.921,948479968.3793001,2056,471510
2026-02-17,validation,btcusdt,eth100_btc50_liq2_and_ret20_long,30,return5s_gt_50,-0.1839927980780013,,-0.1839927980780013,956482495.3003,0.0,956482495.3003,0,473566
2026-02-17,validation,btcusdt,eth100_btc50_liq2_and_ret20_long,120,liq2s_and_return5s_gt_20,-0.24752334765512066,,-0.24752334765512066,956482495.3003,0.0,956482495.3003,0,473566
2026-02-17,validation,btcusdt,eth100_btc50_liq2_and_ret20_long,300,liq2s_and_return5s_gt_20,-0.22656347643131375,,-0.22656347643131375,956482495.3003,0.0,956482495.3003,0,473566
2026-02-17,validation,btcusdt,eth100_btc50_liq2_or_ret50_long,30,return5s_gt_50,-0.1839927980780013,,-0.1839927980780013,956482495.3003,0.0,956482495.3003,0,473566
2026-02-17,validation,btcusdt,eth100_btc50_liq2_or_ret50_long,120,liq2s_or_return5s_gt_50,-0.24752334765512066,-3.4345819753040705,-0.24680307190682446,956482495.3003,216116.35120000003,956266378.9490999,65,473501
2026-02-17,validation,btcusdt,eth100_btc50_liq2_or_ret50_long,300,liq2s_or_return5s_gt_50,-0.22656347643131375,26.12271419655595,-0.23251841730636544,956482495.3003,216116.35120000003,956266378.9490999,65,473501
2026-02-17,validation,btcusdt,eth100_btc50_bybit_or_ret50_long,30,return5s_gt_50,-0.1839927980780013,,-0.1839927980780013,956482495.3003,0.0,956482495.3003,0,473566
2026-02-17,validation,btcusdt,eth100_btc50_bybit_or_ret50_long,120,bybit5s_or_return5s_gt_50,-0.24752334765512066,,-0.24752334765512066,956482495.3003,0.0,956482495.3003,0,473566
2026-02-17,validation,btcusdt,eth100_btc50_bybit_or_ret50_long,300,bybit5s_or_return5s_gt_50,-0.22656347643131375,,-0.22656347643131375,956482495.3003,0.0,956482495.3003,0,473566
2026-02-17,validation,btcusdt,eth100_btc50_ret5_long,30,return5s_gt_50,-0.1839927980780013,,-0.1839927980780013,956482495.3003,0.0,956482495.3003,0,473566
2026-02-17,validation,btcusdt,eth100_btc50_ret5_long,120,return5s_gt_50,-0.24752334765512066,,-0.24752334765512066,956482495.3003,0.0,956482495.3003,0,473566
2026-02-17,validation,btcusdt,eth100_btc50_ret5_long,300,return5s_gt_50,-0.22656347643131375,,-0.22656347643131375,956482495.3003,0.0,956482495.3003,0,473566
2026-02-17,validation,ethusdt,current_hybrid,30,return5s_gt_50,-0.3669694143222108,,-0.3669694143222108,841973144.63176,0.0,841973144.63176,0,792396
2026-02-17,validation,ethusdt,current_hybrid,120,baseline_liq1s_d200_gt_100k,-0.1994008564609339,-12.659745181426096,-0.15338140651195148,841973144.63176,3098193.9822899997,838874950.64947,1520,790876
2026-02-17,validation,ethusdt,current_hybrid,300,baseline_liq1s_d200_gt_100k,0.12994606149695004,-9.588770558545898,0.16583993259714994,841973144.63176,3098193.9822899997,838874950.64947,1520,790876
2026-02-17,validation,ethusdt,eth100_btc50_liq2_long,30,return5s_gt_100,-0.3669694143222108,,-0.3669694143222108,841973144.63176,0.0,841973144.63176,0,792396
2026-02-17,validation,ethusdt,eth100_btc50_liq2_long,120,liq2s_d200_gt_2m,-0.1994008564609339,,-0.1994008564609339,841973144.63176,0.0,841973144.63176,0,792396
2026-02-17,validation,ethusdt,eth100_btc50_liq2_long,300,liq2s_d200_gt_2m,0.12994606149695004,,0.12994606149695004,841973144.63176,0.0,841973144.63176,0,792396
2026-02-17,validation,ethusdt,eth100_btc50_baseline_and_ret20_long,30,return5s_gt_100,-0.3669694143222108,,-0.3669694143222108,841973144.63176,0.0,841973144.63176,0,792396
2026-02-17,validation,ethusdt,eth100_btc50_baseline_and_ret20_long,120,baseline_and_return5s_gt_20,-0.1994008564609339,-28.86351444699822,-0.169505917532301,841973144.63176,877212.2484200001,841095932.3833401,375,792021
2026-02-17,validation,ethusdt,eth100_btc50_baseline_and_ret20_long,300,baseline_and_return5s_gt_20,0.12994606149695004,-13.16118952941715,0.14380791302525708,841973144.63176,877212.2484200001,841095932.3833401,375,792021
2026-02-17,validation,ethusdt,eth100_btc50_baseline_or_ret50_long,30,return5s_gt_100,-0.3669694143222108,,-0.3669694143222108,841973144.63176,0.0,841973144.63176,0,792396
2026-02-17,validation,ethusdt,eth100_btc50_baseline_or_ret50_long,120,baseline_or_return5s_gt_50,-0.1994008564609339,-12.659745181426096,-0.15338140651195148,841973144.63176,3098193.9822899997,838874950.64947,1520,790876
2026-02-17,validation,ethusdt,eth100_btc50_baseline_or_ret50_long,300,baseline_or_return5s_gt_50,0.12994606149695004,-9.588770558545898,0.16583993259714994,841973144.63176,3098193.9822899997,838874950.64947,1520,790876
2026-02-17,validation,ethusdt,eth100_btc50_liq2_and_ret20_long,30,return5s_gt_100,-0.3669694143222108,,-0.3669694143222108,841973144.63176,0.0,841973144.63176,0,792396
2026-02-17,validation,ethusdt,eth100_btc50_liq2_and_ret20_long,120,liq2s_and_return5s_gt_20,-0.1994008564609339,,-0.1994008564609339,841973144.63176,0.0,841973144.63176,0,792396
2026-02-17,validation,ethusdt,eth100_btc50_liq2_and_ret20_long,300,liq2s_and_return5s_gt_20,0.12994606149695004,,0.12994606149695004,841973144.63176,0.0,841973144.63176,0,792396
2026-02-17,validation,ethusdt,eth100_btc50_liq2_or_ret50_long,30,return5s_gt_100,-0.3669694143222108,,-0.3669694143222108,841973144.63176,0.0,841973144.63176,0,792396
2026-02-17,validation,ethusdt,eth100_btc50_liq2_or_ret50_long,120,liq2s_or_return5s_gt_50,-0.1994008564609339,,-0.1994008564609339,841973144.63176,0.0,841973144.63176,0,792396
2026-02-17,validation,ethusdt,eth100_btc50_liq2_or_ret50_long,300,liq2s_or_return5s_gt_50,0.12994606149695004,,0.12994606149695004,841973144.63176,0.0,841973144.63176,0,792396
2026-02-17,validation,ethusdt,eth100_btc50_bybit_or_ret50_long,30,return5s_gt_100,-0.3669694143222108,,-0.3669694143222108,841973144.63176,0.0,841973144.63176,0,792396
2026-02-17,validation,ethusdt,eth100_btc50_bybit_or_ret50_long,120,bybit5s_or_return5s_gt_50,-0.1994008564609339,,-0.1994008564609339,841973144.63176,0.0,841973144.63176,0,792396
2026-02-17,validation,ethusdt,eth100_btc50_bybit_or_ret50_long,300,bybit5s_or_return5s_gt_50,0.12994606149695004,,0.12994606149695004,841973144.63176,0.0,841973144.63176,0,792396
2026-02-17,validation,ethusdt,eth100_btc50_ret5_long,30,return5s_gt_100,-0.3669694143222108,,-0.3669694143222108,841973144.63176,0.0,841973144.63176,0,792396
2026-02-17,validation,ethusdt,eth100_btc50_ret5_long,120,return5s_gt_50,-0.1994008564609339,,-0.1994008564609339,841973144.63176,0.0,841973144.63176,0,792396
2026-02-17,validation,ethusdt,eth100_btc50_ret5_long,300,return5s_gt_50,0.12994606149695004,,0.12994606149695004,841973144.63176,0.0,841973144.63176,0,792396
2026-02-18,validation,btcusdt,current_hybrid,30,return5s_gt_50,-0.1810272894584236,,-0.1810272894584236,1039193300.3773,0.0,1039193300.3773,0,441494
2026-02-18,validation,btcusdt,current_hybrid,120,baseline_liq1s_d200_gt_100k,-0.2273265039277761,1.1053836105383748,-0.23638899652062662,1039193300.3773,7018835.7831,1032174464.5942,1790,439704
2026-02-18,validation,btcusdt,current_hybrid,300,baseline_liq1s_d200_gt_100k,0.17062180810462388,5.270522852325795,0.13594223680412515,1039193300.3773,7018835.7831,1032174464.5942,1790,439704
2026-02-18,validation,btcusdt,eth100_btc50_liq2_long,30,return5s_gt_50,-0.1810272894584236,,-0.1810272894584236,1039193300.3773,0.0,1039193300.3773,0,441494
2026-02-18,validation,btcusdt,eth100_btc50_liq2_long,120,liq2s_d200_gt_2m,-0.2273265039277761,-57.05517343334668,-0.16384858741107078,1039193300.3773,1159505.878,1038033794.4993,238,441256
2026-02-18,validation,btcusdt,eth100_btc50_liq2_long,300,liq2s_d200_gt_2m,0.17062180810462388,-37.980425989040604,0.2132373418252638,1039193300.3773,1159505.878,1038033794.4993,238,441256
2026-02-18,validation,btcusdt,eth100_btc50_baseline_and_ret20_long,30,return5s_gt_50,-0.1810272894584236,,-0.1810272894584236,1039193300.3773,0.0,1039193300.3773,0,441494
2026-02-18,validation,btcusdt,eth100_btc50_baseline_and_ret20_long,120,baseline_and_return5s_gt_20,-0.2273265039277761,-21.84918233359998,-0.21870420469627513,1039193300.3773,414241.2175,1038779059.1598,149,441345
2026-02-18,validation,btcusdt,eth100_btc50_baseline_and_ret20_long,300,baseline_and_return5s_gt_20,0.17062180810462388,-1.0339359608754595,0.17110215806198142,1039193300.3773,414241.2175,1038779059.1598,149,441345
2026-02-18,validation,btcusdt,eth100_btc50_baseline_or_ret50_long,30,return5s_gt_50,-0.1810272894584236,,-0.1810272894584236,1039193300.3773,0.0,1039193300.3773,0,441494
2026-02-18,validation,btcusdt,eth100_btc50_baseline_or_ret50_long,120,baseline_or_return5s_gt_50,-0.2273265039277761,1.1053836105383748,-0.23638899652062662,1039193300.3773,7018835.7831,1032174464.5942,1790,439704
2026-02-18,validation,btcusdt,eth100_btc50_baseline_or_ret50_long,300,baseline_or_return5s_gt_50,0.17062180810462388,5.270522852325795,0.13594223680412515,1039193300.3773,7018835.7831,1032174464.5942,1790,439704
2026-02-18,validation,btcusdt,eth100_btc50_liq2_and_ret20_long,30,return5s_gt_50,-0.1810272894584236,,-0.1810272894584236,1039193300.3773,0.0,1039193300.3773,0,441494
2026-02-18,validation,btcusdt,eth100_btc50_liq2_and_ret20_long,120,liq2s_and_return5s_gt_20,-0.2273265039277761,,-0.2273265039277761,1039193300.3773,0.0,1039193300.3773,0,441494
2026-02-18,validation,btcusdt,eth100_btc50_liq2_and_ret20_long,300,liq2s_and_return5s_gt_20,0.17062180810462388,,0.17062180810462388,1039193300.3773,0.0,1039193300.3773,0,441494
2026-02-18,validation,btcusdt,eth100_btc50_liq2_or_ret50_long,30,return5s_gt_50,-0.1810272894584236,,-0.1810272894584236,1039193300.3773,0.0,1039193300.3773,0,441494
2026-02-18,validation,btcusdt,eth100_btc50_liq2_or_ret50_long,120,liq2s_or_return5s_gt_50,-0.2273265039277761,-57.05517343334668,-0.16384858741107078,1039193300.3773,1159505.878,1038033794.4993,238,441256
2026-02-18,validation,btcusdt,eth100_btc50_liq2_or_ret50_long,300,liq2s_or_return5s_gt_50,0.17062180810462388,-37.980425989040604,0.2132373418252638,1039193300.3773,1159505.878,1038033794.4993,238,441256
2026-02-18,validation,btcusdt,eth100_btc50_bybit_or_ret50_long,30,return5s_gt_50,-0.1810272894584236,,-0.1810272894584236,1039193300.3773,0.0,1039193300.3773,0,441494
2026-02-18,validation,btcusdt,eth100_btc50_bybit_or_ret50_long,120,bybit5s_or_return5s_gt_50,-0.2273265039277761,,-0.2273265039277761,1039193300.3773,0.0,1039193300.3773,0,441494
2026-02-18,validation,btcusdt,eth100_btc50_bybit_or_ret50_long,300,bybit5s_or_return5s_gt_50,0.17062180810462388,,0.17062180810462388,1039193300.3773,0.0,1039193300.3773,0,441494
2026-02-18,validation,btcusdt,eth100_btc50_ret5_long,30,return5s_gt_50,-0.1810272894584236,,-0.1810272894584236,1039193300.3773,0.0,1039193300.3773,0,441494
2026-02-18,validation,btcusdt,eth100_btc50_ret5_long,120,return5s_gt_50,-0.2273265039277761,,-0.2273265039277761,1039193300.3773,0.0,1039193300.3773,0,441494
2026-02-18,validation,btcusdt,eth100_btc50_ret5_long,300,return5s_gt_50,0.17062180810462388,,0.17062180810462388,1039193300.3773,0.0,1039193300.3773,0,441494
2026-02-18,validation,ethusdt,current_hybrid,30,return5s_gt_50,-0.2696619223504626,14.752318081564624,-0.30248830548419203,920364542.5253999,2006816.84765,918357725.6777501,444,739910
2026-02-18,validation,ethusdt,current_hybrid,120,baseline_liq1s_d200_gt_100k,-0.1524290936035496,8.570889240445013,-0.21687838425966827,920364542.5253999,6749932.91175,913614609.6136501,2769,737585
2026-02-18,validation,ethusdt,current_hybrid,300,baseline_liq1s_d200_gt_100k,-0.15161852203416767,7.370023260358801,-0.20718963143098212,920364542.5253999,6749932.91175,913614609.6136501,2769,737585
2026-02-18,validation,ethusdt,eth100_btc50_liq2_long,30,return5s_gt_100,-0.2696619223504626,,-0.2696619223504626,920364542.5253999,0.0,920364542.5253999,0,740354
2026-02-18,validation,ethusdt,eth100_btc50_liq2_long,120,liq2s_d200_gt_2m,-0.1524290936035496,-13.238822308131695,-0.138463715552063,920364542.5253999,981136.40865,919383406.11675,362,739992
2026-02-18,validation,ethusdt,eth100_btc50_liq2_long,300,liq2s_d200_gt_2m,-0.15161852203416767,-19.292693519611422,-0.13119178226936648,920364542.5253999,981136.40865,919383406.11675,362,739992
2026-02-18,validation,ethusdt,eth100_btc50_baseline_and_ret20_long,30,return5s_gt_100,-0.2696619223504626,,-0.2696619223504626,920364542.5253999,0.0,920364542.5253999,0,740354
2026-02-18,validation,ethusdt,eth100_btc50_baseline_and_ret20_long,120,baseline_and_return5s_gt_20,-0.1524290936035496,20.353323678554922,-0.21107164204137585,920364542.5253999,2624561.59902,917739980.9263799,778,739576
2026-02-18,validation,ethusdt,eth100_btc50_baseline_and_ret20_long,300,baseline_and_return5s_gt_20,-0.15161852203416767,12.14135488697763,-0.18677408528477252,920364542.5253999,2624561.59902,917739980.9263799,778,739576
2026-02-18,validation,ethusdt,eth100_btc50_baseline_or_ret50_long,30,return5s_gt_100,-0.2696619223504626,,-0.2696619223504626,920364542.5253999,0.0,920364542.5253999,0,740354
